userName,score,at,content
Francis Bratajaya,2,2023-03-24 02:55:46,Harus ke dukcapil dan minta scan kode QR petugas dukcapil. Merepotkan. Apalagi domisili luar kota.
Sumas Dongoran,5,2023-03-24 02:54:59,Membantu saat lupa bawa KTP
M Fauzi,1,2023-03-24 02:30:57,gak jelas cara pakenya
Pak Saidi,5,2023-03-24 02:28:38,Terima kasih capil muba
darwin dalimunthe,5,2023-03-24 02:19:30,TERIMA KASIH
Rhoby smIkErZz,2,2023-03-24 02:02:03,"Aplikasinya terlalu privasi sehingga susah digunakan, saat saya membutuhkan fotocopy KTP dgn KK bisanya hanya dikirim lewat barcode, masalahnya tidak banyak tempat fotocopy yg ada membaca barcodenya"
Nur Rizqi,1,2023-03-24 01:58:24,Ari ku pagawe disduk bisa kbuka ari ku uing te kabuka . Aya udang di balik remeh iye mah lur.
Biker Rimba bacok,5,2023-03-24 01:46:06,Aplikasi Identitas kependudukan digital.dapat mebuat data dari jaringan sosial.
Nur hayati,1,2023-03-24 01:44:54,"Tidak bisa diproses datanya,ini gmn y"
Atep Tipis,1,2023-03-24 01:42:21,"Terus we coba lagi, masalah koneksi"
Afnan Mahardika,1,2023-03-24 01:24:10,"Pengguna tiba-tiba logout dari aplikasi, terus tidak ada menu login untuk pengguna yang pernah terdaftar... Kalau mau login lagi harus ke dinas Kependudukan lagi, padahal fungsi aplikasi itu memudahkan, bukan menyuruh pengguna kesana-kemari untuk aktivasi"
Andariyati Djakkolo,5,2023-03-24 00:38:53,Bermanfaat dalam melihat data2 keluarga
R. Surya Mahesa,1,2023-03-24 00:23:34,"Mau digital, tapi daftar aja harus ke Disdukcapil untuk minta QR verifikasi"
Vivo Oviv,2,2023-03-24 00:00:47,👍
Sego DadArt,1,2023-03-23 22:54:51,"Aplikasi apa ini, jelek bgt gila, pengen daftar tinggal verifikasi wajah eh kameranya ngeblank.. bobrok banget sumpah, padahal anggarannya gede lho ini.. mau heran tapi ini endonesa hmm"
Mukmin Lamagewok,5,2023-03-23 18:15:26,Aplikasi nya d buka keterangannya trjadi kslahn trus ... Mhon d tingkatkan agar bisa berguna aplikasi nya .. Sinya jaringn bgus smua ..
Lisma Puspita,1,2023-03-23 12:10:57,Sdh daftar disuruh masukan kode kode aja ngak ada dari mana
Adhy Setiawan,1,2023-03-23 08:55:22,Apk gajlas lolll.. Klo ga mampu bikin aplikasi jgn bikin...
HELMI SYAPUTRA,5,2023-03-23 07:47:26,Saya sangat ingin menggunakan aplikasi ini
Intan Yps,1,2023-03-23 02:14:39,"Emailny knp gabisa dipake terus, pdhl belum pernah pake emailku ke apk ini"
Abdul Rozak,1,2023-03-22 19:51:36,Harus ke Disdukcapil super duper muales ketemu orang orang capil seolah olah orang capil wajahnya bilang beri hamba uang beri hamba uang
Saefuddin Ardyansyah,3,2023-03-22 19:13:25,Kenapa harus ke dukcapil lagi?
Muhamad Hardianto,1,2023-03-22 15:59:20,Apakah dijamin aman data pribadi yang diupload? Dijamin tidak terulang kebocoran data seperti e-KTP kah?
Abu hanifah,1,2023-03-22 13:05:18,Tidak bisa masuk
Melki Mambu,1,2023-03-22 07:50:33,Kelihatan aplikasinya bagus tapi bgt saya coba sdh berapa x saya bolak balik capil utk scan barcode tdk pernah jadi sampe saat ini kalo blh aplikasi d perbaharui dan usul saya utk daftar tdk usah lagi ke capil utk scan barcode buat seperti BPJS d daftar saja knapa harus scan barcode lagi d capil.kan kalo kt daftar data kt pasti konek dgn data capil kan kt daftar dgn Nik..seperti BPJS tdk salah krn pake Nik..Dan kalo blh bgt sdh trdaftar bisa login d hp lain mohon d prtmbngkan semua ulasan yg ada
Nurdiansyah 81,3,2023-03-22 07:43:21,Lumayan
Ana Mariyani,1,2023-03-22 06:22:06,"Sudah didownload tp aplikasinya tdk bisa dibuka ,sudah dicoba berkalikali tetap tdk bisa dengan keterangan koneksi kurang,padahal data internet saya kuat. Dari pihak petugas ada yg bilang ,jika memori hp dibawah 4 ram memang tdk bisa. Berarti yg menggunakan KTP digitial hanya yg punya hp dengan memori 4ram keatas ya? Harus beli hp baru dulu baru bisa akses aplikasi ini? Sungguh bukan solusi. Tolong di perbaiki agar semua warga indonesia ,baik yg punya hp/tdk punya bisa mengakses ktp digital. thx"
Tongseng Pak Agus,1,2023-03-22 05:25:14,Ini daftarnya gimna ya malah kita nya bingung..
Pajar Sugiana,1,2023-03-22 05:19:54,Tidak bisa di buka
devin alfatih,1,2023-03-22 03:54:07,Aplikasi apa an kagak bisa d buka merugikan sekali kuota gue ke sedot cuy
Duwi Putra,1,2023-03-22 03:28:09,Fitur nya ga lengkap... Payah sekelas pemerintah gini amat aplikasinya
Mamatu Chemphenktu,5,2023-03-22 03:16:01,"Luar biasa, cukup mudah, semoga bermanfaat"
Rahmat Bahagia.NS-BARABAI,5,2023-03-22 03:03:16,Semoga bermanfaat buat kita semua
Arifin ipin,4,2023-03-22 02:50:19,Mohon maaf saya kurang puas dengan pelayanannya
Marzuki cuki,5,2023-03-22 02:12:35,kenapa ikd belum bisa login pada hal sudah sy domlop
Nizar frizky,1,2023-03-22 01:29:50,tidak bisa di buka cuman sampai di poto g ke buka
Enno Penjef,5,2023-03-22 00:18:53,Baik baik
Yoga Ramadhan,1,2023-03-21 23:34:11,"Aplikasi kagak jelas,mau bikin KTP digital di buka terjadi kesalahan koneksi Mulu tulisannya dah lah njir."
Abu Aufa Mulyono,5,2023-03-21 20:46:37,"aplikasi tidak bisa dibuka,suddah dicoba berulang kali tetap sj ada tulisan jaringan tidak terkoneksi ""silahkan dicoba lagi"""
Sutran Saidi,4,2023-03-21 19:23:31,Aplikasi nya belum serius
Al'fat_official,5,2023-03-21 15:12:56,"Kasih peningkatan lgi pada fitur²nya. Lakukan kerja sama dg OJK biar bisa memantau status penggunaan e KTP. Takutnya ada penyalahgunaan terhadap teknologi ini, dan tiba² ter record di OJK KOL 5."
Abd Ghofur,1,2023-03-21 11:53:56,Biar bintang yg bicara
Sidik Muhammad,1,2023-03-21 11:52:02,"Sudah daftar eh harus QR-Code KTP el digital,"
Adhe Aconk,1,2023-03-21 11:29:39,"Di suruh verivikasi wajah,,setelah foto tdk ada keterangan apa2,,cm ada kembali dan scane barkode,,di ulang2 pun tetep sm,malah aplikasinya kluar sendiri,padahal memori mencukupi semua,,beri kami penjelasan yg pasti utk penggunaan aplikasinya,,seperti BPJS TK dan JKN MOBILE"
Sri Lestari,1,2023-03-21 11:21:37,Tidak bisa didownload
Erlangga Muharam putrajaya,1,2023-03-21 11:20:12,Riber..kalo harus pindai di dukcapil..karena jauh jarak nya
Johan Triana,4,2023-03-21 10:46:34,Kasih fitur masuk pake sidik jari biar lebih simple
Herry Purnomo,5,2023-03-21 09:57:02,"Dengan IKD semoga benar dapat mengurangi unsur kejahatan dgn cara penggunaan identitas orang lain, Untuk membuka dn penggunaannya ternyata tetap harus konfirmasi dengan pihak ducapil kelurahan, trimakasih Ducapil..."
Henry acong,1,2023-03-21 09:53:08,"Korup nomer satu,kalau layanan publik ngg jelas.mesti ke calo calo juga.dengan harapan bisa isi identitas digital justru yg ada muter muter ngg jelas. Pertanyaannya buat apa kalian digaji dari pajak/upeti.ngg ada hasil."
z85 game,1,2023-03-21 09:38:26,Tidak bisa di buka sudah Pake wifi pake jaringan internet sama saja 😀🤣
hendi pranoto,1,2023-03-21 09:27:04,"Aplikasi jelek, katanya suruh upload foto tapi kok gak ada gambarnya cuma hitam. Bug di benerin lagi"
Samsung 2,5,2023-03-21 08:54:29,"Dukcapil itu kecil, dan sederhana ternyata sangat besar"
Wulan Dari,5,2023-03-21 08:22:19,Mantap
Lisa Ajho,5,2023-03-21 08:17:38,Mantap..
Rohim Ritonga,5,2023-03-21 08:15:52,Capil Tapanuli Selatan besar dan canggih
Lestari Lee,1,2023-03-21 08:07:40,"Pas d suru veriv data sama RW dan saya pakai aplikasi ini, saya buka smpe pengambilan Poto trnyata layar potonya gelap ga bs nangkep gbr sama Skali, smpe saya uninstal 3x hasil nihil alhasil saya plg dan ga bs veriv data pdahal smua setting ga ad yg saya utama Atik mohon segera d prbaiki"
Hambali Loui,5,2023-03-21 07:47:23,Dukcapil Terima kasih
Zulfakar Ramos Trisa Putra,5,2023-03-21 07:33:06,Plaform yang bagus
syihabudin,5,2023-03-21 07:15:22,Mempermudah dikumen kependudukan
Siluman Ular,1,2023-03-21 06:56:42,"aplikasi tidak bisa, pas verifikasi wajah, hanya blank hitam"
Muin In,5,2023-03-21 06:27:36,Sangat membantu
Peni Susiana,5,2023-03-21 06:23:06,Pelayanan yang ramah dan sangat membantu dengan cepat
Noris Saputra,5,2023-03-21 05:58:44,Terima kasih
Ahsan Harahap,5,2023-03-21 05:40:35,Terima kasih
Wahyudi Wahyudi,4,2023-03-21 05:38:59,"Untuk KTP digital sudah bisa, tapi untuk fitur pelayanan masih belum bisa sering terjadi kesalahan semoga kedepannya ada perbaikan"
Ardina Yonitra,5,2023-03-21 05:34:34,Alhamdulillah.. Diberi kemudahan 👍
DT 12 Gamung,1,2023-03-21 05:12:57,"APLIKASI GK BISA DIBUKA, ALASANNYA KONRKSI GK STABIL PADAHAL UDH STABIL PAKE WIFI JGA SAMA AJA GK BISA"
User Helmiyanti,5,2023-03-21 05:06:45,Ok
enni yusril,5,2023-03-21 05:06:04,Ok
Mr. Simple,5,2023-03-21 04:53:37,Terima kasih
Febti Uliantini,5,2023-03-21 04:43:01,Untuk mempermudah mengetahui data diri
Siska Harfiandi,5,2023-03-21 04:41:27,Dapat mempermudah untuk mengecek data diri
fais elvina,5,2023-03-21 04:41:09,Dapat mempermudah untuk melihat ataupun mengecek data diri
yonok pangaribuan,4,2023-03-21 04:30:14,Kenapa setiap buka terjadi kesalahan terus
Sufyan Kayla,5,2023-03-21 04:13:23,Very helpful I really like this application
Saiful Rahman,5,2023-03-21 04:13:16,Sangat membantu 👍👍
Timbul Basuki,1,2023-03-21 04:10:23,"Email tidak valid mulu Semua digital tp di persulit utk Daftar,,"
Siti Romdanah,5,2023-03-21 04:07:54,Dukcapil bisa
Jafrot Iwan ajelah,5,2023-03-21 04:06:41,Dukcapil bisa
Ipah Nur,5,2023-03-21 04:04:51,Dukcapil bisa
Liont Official,3,2023-03-21 03:51:47,"ditingkatkan lagi seperti dikasih fitur masuk/login agar tidak 1 ktp 1 hp jadi bisa masuk ke hp yg lain , dikarenakan KTP ibu atau bapak saya ada di saya jadi saya kerepotan harus bolak balik karena ada tanggungan kerja juga"
okomama mollo,5,2023-03-21 03:42:40,Cukup membantu
saiful rohman,1,2023-03-21 03:36:15,Aplikasi yg sangat tidak pro rakyat... Sangat menyulitkan... Rakyat kecil wajib punya smartphone cuma buat bikin KTP.. logikanya dimana ini... Dipelosok desa ya kali signal aja susah.. gila kali ya yg bikin kebijakan demi cuan aplikasi
D Ks,5,2023-03-21 03:32:23,Gak semua orang punya hp OS Android 8.0 keatas. Mikir dong bapak/ibu yang terhormat dan maha kuasa
Imam Safii,1,2023-03-21 02:49:09,Tidak bisa masuk
Niel RN,1,2023-03-21 02:20:15,Kesalahan koneksi
hastuti ariana,5,2023-03-21 02:13:31,Mantap Dukcapil....oke
Onesimus Zega,2,2023-03-21 02:12:16,Ribet juga harus datang ke dukcapil lagi...seharusnya dibuat lebih praktis. Masa setiap orang download aplikasinya harus datang ke Dukcapil.
Marwin Guamo,5,2023-03-21 01:56:19,Baik dan lancar
Tamrin Simamora,4,2023-03-21 01:45:09,Aplikasi masih bnyak bug dokumen diintegrasikan mhon diperbaiki
Ahmad Fadil,5,2023-03-21 01:41:55,"Zaman terus berlanjut negara indonesia juga harus terus berinovasi, Dan yang lebih penting lagi adalah jaga keamanan data kami. Merdeka"
Luqman Septianto,1,2023-03-21 01:30:38,Gak ngerti lagi dah. Gak berbobot
Jams Jamaluddin,1,2023-03-20 20:34:56,"Wah Waktu pertama ada isinya lengkap, ada Kartu Vaksin, NPWP, Kartu Pemilih tuk pemilu, tapi ko sekarang hilang, kayaknya aplikasi ini ada muatan politiknya juga"
Yolanda Rahmah Habibillah,3,2023-03-20 18:50:42,"Bisa isi datanya tapi pas buat foto kameranya item semua dan saat klik ambil foto untuk malah keluar langsung dr aplikasi, pdhl kamera hp berjalan dengan baik"
Sas Endin,5,2023-03-20 18:46:27,Yes. Memuaskan!
Novi “Langgeng” Dayanti,5,2023-03-20 16:58:42,Bagus
Hirro Nimus,1,2023-03-20 14:15:48,Baru saja download langsung di hapus lagi katanya online ujung2 nya minta kode QR dari Capil berarti kita harus ke kantor Capil lagi buat minta QR nya
New Device,1,2023-03-20 12:52:58,"Aplikasi dobol. Buka dokumen yang tersinkronisasi saja susahnya minta ampun,ada tulisan ""Dokumen sedang diintregasikan"" padahal awal mula tersinkron dalam sehari,ke sininya kagak bisa dibuka. Aplikasi DOBOL"
rachmat soesilo,1,2023-03-20 12:09:20,aplikasi sangat ribet harus scan kode yang di dapat dari kantor dukcapil...sama saja membuang buang waktu. seharusnya era digital/online itu lebih memudahkan
Ardiyus Serang,2,2023-03-20 12:03:29,"Dokumen lainya yg terintegrasi kemaren ada sekarang hilang, gimana ini pak menteri"
fikri al,5,2023-03-20 11:37:58,"Aplikasinya mantap betul, sangat membantu dan lengkap.."
Lusi Itamoria0910,5,2023-03-20 10:09:46,Terimakasih pak Dirjen atas aplikasinya yg sangat memudahkan masyarakat 🙏🙏🙏
Cak Ayem,1,2023-03-20 09:54:17,Ruwet dan bertele² sdh punya KTP & KK masih disuruh ke ke disdukcapil untuk verifikasi. Sungguh sangat buruk pelayanan nya.
Andhyie Himaone 54,4,2023-03-20 09:48:56,"Dengan adanya app IKD kita tidak perlu khawatir lagi akan KTP rusak/hilang karna sudah ada KTP-Digital sebagai alternatifnya dan masih banyak menu lain sperti KK,BPJS,NPWP dsb,. mungkin untuk pengembangannya app trsebut bisa di akses lewat Iphone/apple, untuk hp yg tidak suoport coba di cek lagi Versi androitnya berapa?? karna ada keterbatasan app bisa support minim android versi. 7"
Imam Fauzi,3,2023-03-20 08:46:31,Eewww
idontcare xXXx,1,2023-03-20 08:37:23,GUNANYA APA?? VERIFIKASI HARUS MINTA QR DI KANTOR??
Syafiq Kholil,1,2023-03-20 08:33:14,"aplikasi apaan ini jelek buangett...gak bisa dibuka.pasti tulisan nya ""coba lagi""&""kesalahan koneksi""dikiranya ini undian berhadiah apa?pokok nya ini jelek.mohon diperbaiki lagi,klo gak mau memperbaiki mending dihapus aja aplikasinya gak usah ada beginian."
zaenal zaenudin,1,2023-03-20 08:09:04,Aplikasi burik.. gak niat bikin aplikasi apa gak becus bikin aplikasi.. tollol
Seno,5,2023-03-20 08:08:32,keren
Wahyudi Dwi Cahyanto,1,2023-03-20 08:02:31,"Katanya untuk mempermudah, namun nyatanya pendaftaran dibikin sulit, jika mau full mobile untuk verifikasi data harusnya ga perlu datang lagi ke kelurahan atau dukcapil hanya untuk mendapatkan barcode untuk di scan, memangnya ga ada database nya ya, dan lagi kalo sudah berjalan yakin nih kalo ngurus berkas udah ga perlu lagi fotocopy KTP, ya seharusnya dari jaman e-KTP pun harusnya udah ga perlu lagi FC e-KTP"
Igun Pangareto,1,2023-03-20 07:59:40,Untuk code QR ny terlalu lama.. Apk macam apa ini
Hamdah,1,2023-03-20 07:49:52,Sudah ngisi semua data pas ferifikasi wajah gagal terua di ulng sama aja gk bisa
Basir SMPR,1,2023-03-20 07:40:55,Kenapa di persulit Coba lagi coba lagi sampe kapan dicoba terus
Jihan Miranti,1,2023-03-20 07:03:28,Ga bisa di instal tolong di perbaiki
Ugik Yon purma,5,2023-03-20 06:23:24,"Bagus,cepat,mudah sekali,"
Parlindungan Sihombing,1,2023-03-20 06:20:53,Tidak bisa buka harus pindai QRYg diberikan petugas dukcapil berati hrs ke dinas dukcapil minta QR nya
ocham cin,1,2023-03-20 06:19:36,Tidak direkomendasikan
Erpina Pahriani,1,2023-03-20 06:00:14,"kalo aplikasi ini belum siap, TOLONG JANGAN di LUNCURKAN 👌MENGECEWAKAN SEKALI"
IfherMos MB,5,2023-03-20 05:00:24,Dukcapil ok
Iyey Kupyak,1,2023-03-20 04:57:20,Serba online tapi malah riwueh hese..buat apa ada daptar online TPI apk ga bisa d buka..buat apa ada pkerja..
JULIANA SIREGAR,5,2023-03-20 04:30:36,"Mempermudah urusan,jd klu gak bawa ktp bisa lebih mudah."
Rifqi,5,2023-03-20 03:56:55,Sangat bagus
Mutia Rahman,5,2023-03-20 03:53:45,MANTAP
yullius amel Aghel,5,2023-03-20 03:50:13,Mantap...
Husnia Nina,5,2023-03-20 03:45:42,Terimakasih dukcapil. Muba
wendyanto SE,5,2023-03-20 03:36:04,Cukup bermanfaat
Hendra Oktariza,5,2023-03-20 03:28:03,"Terima kasih dukcapil muba, mantap"
SAMBAL PIRIK,3,2023-03-20 03:24:34,Oke
lucky digta,5,2023-03-20 03:19:41,Bagus dan terintegrasi
Dimas Rizki,5,2023-03-20 03:17:45,Semoga tambah sukses
Sumarjanto zaenuri,5,2023-03-20 03:15:26,Lebih mudah diakses
Hardiansyah Hardiansyah,5,2023-03-20 03:12:44,Tetap terbaik
Bayu febrian Syaputra,5,2023-03-20 03:07:47,Terimakasih dukcapil muba
Aim Hakim,5,2023-03-20 03:05:14,Terimakasih sudah membantu proses data identitas dengan mudah
Tansyori Sarmidi,5,2023-03-20 03:01:16,Aplikasi sudah bisa diterapkan
Danang Eko Swandani,5,2023-03-20 02:53:46,"Baik, terima kasih"
Dahlia Yustina,5,2023-03-20 02:49:22,Terima kasih muba
Jovanka angelina,1,2023-03-20 02:37:58,Mempersulit .. di Scan Qr saat meminta verifikasi petugas juga tidak bisa.. hp di pakai di semua scan Qr bisa hanya di aplikasi ini saja hasil nya zonk
sila,5,2023-03-20 02:34:54,"Alhamdulillah aplikasinya ngga sering nge-bug dan lancar, mudah digunakan juga. semoga data-data penduduk bisa aman dan terhindar dari pembobolan agar tidak disalahgunakan."
Lisna Mustopa,5,2023-03-20 02:07:28,Pelayan nya sangat baik menurutku asalkan sabar pasti oke.. seperti nama linknya pasti oke heee
ridha riswandie,1,2023-03-20 01:35:00,Perlu perbaikan.... Coba lagi coba lagi... Malut
Debby Miranty,1,2023-03-20 00:49:57,"Aplikasinya bisa didownload namun tidak bisa diinstal di hp saya. Padahal android versi 9 katanya sudah support. Saya pikir karena gangguan, tp beberapa hari setelahnya masih belum bisa juga, masih dengan notifikasi yang sama"
aditya putra,1,2023-03-19 23:31:05,"Ribet amat segala scan barcode,. Barcode yg mana juga bingung aduhhh..."
BendoeL ChanneL,2,2023-03-19 15:30:22,Tolong dibenahi kembali untuk konektivitas dan struktur dalam aplikasi. Masih terlalu banyak yang kurang....walaupun sudah berhasil login...greget rasanya
Lusita Eka Fidiyanti,1,2023-03-19 14:51:54,"Astaga, masak disuruh ke dukcapil dulu. Ya kolo minggu buka lahh kalo tutup"
Maulan Rifani,1,2023-03-19 13:28:58,Emng kita bisa ngarep mendapatkan aplikasi yg syangat gowd dan begitu memudahkan dari pemerintah kh? Huehehe
Ello Sakwal,5,2023-03-19 12:18:01,Mantap.. Semoga cepat berlaku untuk semua warna nega Indonesia.. Good Job... Salam 1 Data Indonesia
Nugraha Nanda,2,2023-03-19 10:52:22,"Tidak bisa buka apk ini. Notif...""terjadi kesalahan koneksi.....coba lagi"" Kenapa ya pak. Tks. Nunu Nugraha"
Enjang Badrudin,1,2023-03-19 09:58:02,Tolong di perbaiki
Wida Yati,1,2023-03-19 08:46:47,Tidak bisa kebuka aplikasinya
Sinda Peea,1,2023-03-19 08:11:31,TERJADI KESALAHAN KONEKSI. COBA LAGI. GITU MULU. MAKSUDNYA APA SIIIIIH
ahmad syarif,5,2023-03-19 06:32:08,Sangat membantu
Zainal Arifin,4,2023-03-19 05:32:06,Ok
Ahmad Katresna,1,2023-03-19 05:16:34,GK bisa dibuka payah
Jinxpro K-,1,2023-03-19 04:34:54,"Pengennya daftar di app supaya ga perlu ke dukcapil,trnyata percuma jg."
Ayam bakar geprek Im ratu Pak gembul,1,2023-03-19 03:26:39,"aplikasi gembel ,buatan yohanus ,minta paswordd melulu aturan kasih pengaturan lupa pssword ite nya masih anak kemaren sore ye"
bob exs,5,2023-03-19 03:09:30,"memang aplikasinya masih tahap percobaan,,, bukan disebab masalah jaringan lemah atau kuat,,, karena banyak dokumen/data yang terus di update dengan akun yang terkait,,, yang pada akhirnya akan ada dokumen SIM, SURAT NIKAH,,, atau apa apa saja yang terkait dengan data akun,,,"
T Artup,5,2023-03-19 01:17:04,Mantap
Indra Gunawan,1,2023-03-18 23:57:25,Hati2 yaa guys sama apk2 gak jelas. Jangan asal input data kalian nanti data kalian disalah gunakan. Tadinya mau saya isi cuma kayak agak janggal untung belum diisi 🤗 semoga banyak yang baca ulasan saya
Lucky Stylites (Luckray),5,2023-03-18 19:43:34,Good apk
Wahyudi St,1,2023-03-18 18:19:53,Cara mendapatkan QR tanpa harus ke kelurahan gimana nih sibuk kerja di luar kota soalnya jadi berabe deh
yuwono wibowo,1,2023-03-18 17:00:34,seperti wilayah Indonesia pada umumnya... SAMPAH!
Arif Fahruddin,4,2023-03-18 14:17:04,Registrasi pertama gagal karena tidak ada balasan k email. Coba lagi kedua dengan email yang baru alhamdulillah bisa sampai sekarang. Bagi yg mau registrasi KTP digital harus ke disduk setempat karena tidak bisa sendiri
Bercinta di sorga,1,2023-03-18 13:29:50,Baru download langsung gw uniinstall..apk gak jelas..
Novita Eka,5,2023-03-18 13:05:21,HAFlDS. FATHONl
Wildan Arief,5,2023-03-18 12:34:46,Mudah digunakan 👍👍👍
Giyatno Giyatno,5,2023-03-18 12:17:23,Kk
Riska Handayani,1,2023-03-18 11:33:02,Aplikasi Tidak bisa di buka
Agung Prasetyo,5,2023-03-18 10:57:48,Semoga aplikasi ini kedepannya bisa berfungsi dengan baik dan bisa digunakan sesuai harapan kita
Resdin Tumanggor,1,2023-03-18 10:55:27,Apl lelet
Maman Suparman (Gibgib),1,2023-03-18 09:47:02,"Bintang 1 dulu, daftar masukin foto...Scan kode QR? Lah kode QR nya mana? 😃"
TRI PANJI PAMUNGKAS,1,2023-03-18 09:46:05,"Tampilannya kayak aplikasi di era 2004, ketinggalan jaman, wah korupsi anggaran aplikasi lagi sepertinya ini 😄"
Anies She,1,2023-03-18 09:24:00,Tidak berguna
Mustofa As,5,2023-03-18 08:50:31,Mantap 👍👍👍
Nor Beantoro,1,2023-03-18 08:39:59,Ga bisa dibuka koneksi ilang ntah kemana.. Perbaiki dulu baru go publik..
Info Mataram,1,2023-03-18 08:26:44,"Programmer nya kaya gimana ini ya, anggaran nya gede pasti ini tapi error terus ga bisa dibuka"
Khanza A Elshanum,1,2023-03-18 08:18:28,Apk gak guna.. email tdak valid pdahal sudah bener email nomor juga bener... Tdak ada tombol selnjutnya...
OSCAR W.W. MOTE,5,2023-03-18 06:49:04,Kenapa KARTU KELUARGA TIDAK KE BACA
muhammad amir,5,2023-03-18 06:22:33,Kalau keluar ko GK bisa balik lagi kenapa ya
Hendro Kurniawan,5,2023-03-18 03:48:11,Mantap ga perlu buka2 dompet buat ambil KTP cukup di HP android
Hanif Hanaf,1,2023-03-18 02:32:27,Sya mu daftr Gaa dapt balesan di email Apliksi nya jga ga suport ke ios
Mukhlis Saputra,1,2023-03-18 01:33:02,Fungsinya apa?
Jannatul Adnin,1,2023-03-18 00:47:21,"Ntahlah aplikasi GK bisa di buka, periksa koneksi internet anda terus padahal kuota full🤔???"
Tatang Taryana,1,2023-03-17 23:33:05,"Sekelas aplikasi pemerintahan Indonesia, mohon jangan gunakan programmer abal-abal.. memalukan"
MARIO AP,4,2023-03-17 23:31:22,"Alhamdulillah, cukup bagus untuk aplikasinya"
Iqbal Fakhrurozi,3,2023-03-17 19:09:51,"Fitur fitur menunya tolong di perjelas,, Terkadang dokumen integrasi kadang muncul kadang tidak muncul,,, terus fitur fitur yg lainnya seperti,, tte dsb di perjelas lagi ,,,inovasi nya sudah bagus tetapi tolong di tingkat kan kembali,,, supaya masyarakat mengenal dukcapil..."
farid putramadani,1,2023-03-17 18:12:11,Percuma digitalisasi. kalo ngurus2 sesuatu masih disuruh fotocopy
Asep Rachmatullah,1,2023-03-17 17:58:48,Ribet bukan memepermudah serba digital malah harus ke kantor dukcapil cuma buat sqan qr
Agus Sulaiman,5,2023-03-17 17:57:16,Top mantap
Hermwan Her33,5,2023-03-17 14:57:46,Apk gak jelas gagal mulu
Saktiani Maulina,1,2023-03-17 14:23:45,"Akses terlalu lama loading nya, untuk masuk aplikasi atau pun melihat data lainnya,, mohon di perbaiki lagi layanan kualitas online nya"
Moh. Holik,3,2023-03-17 13:56:56,Uplikasi tdk update
Derry Adriyan,1,2023-03-17 12:50:58,Apk tdak bisa di buka. Sinyal bagus.
Hajna Agung Milkham,1,2023-03-17 12:14:26,Aplikasi ga ada kegunaan nya. Buat buka rekening aja masih ditolak sama bank. Tetap ga bisa menggantikan KTP asli. Pas lagi butuh tetap aja masalah utama kurangnya blangko. Sistem cetak online yang sudah bagus dan cepat malah dihilangkan. Dikembalikan ke sistem lama yg antre dan ladang cuan oknum kecamatan. Emang kemaren2 bisa cetak cepat hanya penghiburan sementara. Usai reda perkara kembali rusak seperti semula
Kamin Kamin2020,5,2023-03-17 12:14:03,Susah dibuk
Abdul Sani,1,2023-03-17 11:27:57,Divelover yth Mohon di perbaiki lagi sistemnya dan dipermudah lg agar disdukcapil setempat mempublikasikan scan barcodenya agar memudahkan masyarakat mendapatkannya
mohamad ridwan,4,2023-03-17 10:53:43,"alangkah lebih baik lagi jika ada fitur download file, baik berupa hitam putih pun tidak masalah untuk keperluan administrasi yg membutuhkan copy KTP terutama, karena untuk cetak ktp sekarang ini sulit sekali, selalu blangko kosong kecuali daftar paket kilat yg berkisar 100-300rbu tergantung tempat dan orang yg dimintai tolong untuk mengurus KTP. note, di daerah saya kabupaten cirebon kepengurusan KTP yg berhubungan dengan disdukcapil harus lewat aplikasi sintren yg tidak untuk umum..."
Moh Rifky fadilah,1,2023-03-17 10:04:45,Teruntuk developer kalo user salah pin Tolong lah di tambahin di user interface nya kalo lupa pin biar gampang gantinya
Rio Tri,1,2023-03-17 09:58:57,Ga berguna aplikasi nya tetap di tolak oleh instansi perbankan dan aplikasi2 yg memerlukan proses KYC ktp digital sangaaaat sangaaaaaattttt tiiiiiiidaaaaaaakkkk bisssaaaaaaaaaaaa diiiiiii paaaaaakaaaaaaaiiiiiiiiiiiiiiii Dr jaman ex ketua dpr mau cetak ektp suliiiiittttt sekali
Abd waris Al fatoni,1,2023-03-17 09:42:38,"Mau daftar aja susah. Disuruh masukkan email, Setelah dimasukkan tapi malah ada tulisan email tidak valid padahal email-nya udh benar. Saya berharap aplikasi ini diperbaiki untuk lebih memudahkan lagi masyarakat Indonesia, untuk membuat identitas kependudukan digital."
rian roikhatul janah,2,2023-03-17 09:30:11,"Tidak bisa login, harus pake kode qr"
e prast,4,2023-03-17 08:40:53,"Di dokumen cuma ada ktp digital, tidak ada KK seperti di gambar Aktifasi harus datang di dukcapil untuk scan data Masalah KEAMANAN DATA dari para pencuri data masih meragukan, mohon DIPERHATIKAN"
Maryam Maryam,5,2023-03-17 08:15:52,Alhamdulillah aplikasi memudahkan menyimpan dokumen pribadi
Rapli,1,2023-03-17 06:54:56,Apa lagi ini alig
Hendy Wijaya,3,2023-03-17 06:28:44,Persoalan yang sama dan tidak berubah setiap ada kebijakkan yang baru tapi tidak disiapkan dahulu sdm dan IT nya sehingga berakhir dengan kecewa .
Thony,1,2023-03-17 06:00:43,"Aplikasi ini memang bermakna baik cuma gak bisa kebuka secara umum,,,,"
Ucit 89,1,2023-03-17 05:55:32,Qr code dri mana dapatnya
NIKO AF,1,2023-03-17 05:51:19,Coba cek sendiri
